                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    136,                  1.455,                 1.1883,                 2.2412,                0.77797,                0.69073,                0.74343,                0.58804,                 1.7529,                 2.1574,                 2.5445,              0.0033175,              0.0033175,              0.0033175
                    137,                 1.4355,                  1.173,                 2.2327,                0.77847,                 0.6914,                0.74355,                0.58821,                 1.7529,                 2.1575,                 2.5448,               0.003268,               0.003268,               0.003268
                    138,                 1.4132,                 1.1539,                 2.2309,                0.77732,                0.69225,                0.74321,                0.58821,                  1.753,                 2.1584,                 2.5452,              0.0032185,              0.0032185,              0.0032185
                    139,                 1.4486,                 1.1766,                 2.2312,                0.78018,                0.69056,                0.74341,                0.58844,                 1.7526,                 2.1606,                 2.5453,               0.003169,               0.003169,               0.003169
                    140,                 1.4352,                 1.1768,                 2.2393,                0.78234,                0.68987,                 0.7435,                0.58867,                 1.7529,                 2.1614,                 2.5464,              0.0031195,              0.0031195,              0.0031195
                    141,                 1.4321,                  1.158,                 2.2415,                0.77961,                0.69141,                0.74323,                0.58853,                 1.7529,                 2.1652,                 2.5474,                0.00307,                0.00307,                0.00307
                    142,                 1.4229,                 1.1599,                 2.2422,                0.77957,                0.69049,                0.74327,                0.58873,                 1.7529,                 2.1679,                 2.5481,              0.0030205,              0.0030205,              0.0030205
                    143,                 1.3954,                   1.13,                 2.2233,                0.78397,                0.68822,                0.74346,                0.58902,                 1.7525,                 2.1729,                 2.5482,               0.002971,               0.002971,               0.002971
                    144,                 1.4127,                 1.1257,                 2.2105,                0.78608,                0.68681,                0.74337,                0.58913,                  1.751,                 2.1795,                  2.548,              0.0029215,              0.0029215,              0.0029215
                    145,                 1.3687,                 1.1278,                 2.2106,                0.78533,                0.68779,                0.74365,                0.58952,                 1.7512,                 2.1824,                  2.549,               0.002872,               0.002872,               0.002872
                    146,                 1.3716,                  1.113,                 2.2067,                0.78328,                0.68886,                0.74355,                 0.5895,                 1.7524,                 2.1847,                 2.5511,              0.0028225,              0.0028225,              0.0028225
                    147,                  1.376,                 1.0972,                 2.2154,                0.78438,                0.68696,                0.74345,                0.58957,                 1.7508,                 2.1886,                  2.551,               0.002773,               0.002773,               0.002773
